	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010	90.6697714572127	-0.0192946075685742	0.267130969932517	-0.0722290177490406	0.942419652653002	0.993512905734553
AT1G03987	3.38679117605234	-0.647890381614736	0.961308228785351	-0.673967373017674	0.500332056938418	0.923641954302064
AT1G01020	169.554372009386	-0.347505728524332	0.275368394010683	-1.26196664571044	0.206960788626677	0.814677739303973
AT1G01040	896.146481348048	-0.14902635887344	0.158465969878077	-0.940431305144569	0.346996370747864	0.884838828511844
AT1G01046	3.53985808028681	-1.1818275752602	1.0413671258213	-1.13488081768293	0.256425258172328	0.84429680033778
AT1G01050	1566.82429270213	0.108571879949567	0.13531515069227	0.80236307164508	0.422342967970834	0.902938665600561
AT1G01060	330.147551445761	0.347670325795011	0.206911826919721	1.68028251922933	0.0929023605474371	0.710642329785328
AT1G01100	2159.19661335409	0.377232851582508	0.172662429683618	2.18479985642353	0.0289035245910362	0.572612315503104
AT1G01110	43.9093223187534	0.0414301220383153	0.262868330805701	0.157607886470502	0.874765788746033	0.98286913038346
AT1G01130	31.03869868726	0.19811176423602	0.35159954011776	0.563458541981217	0.573122683042215	0.937049604334498
AT1G01150	6.20868866298175	1.13920340496214	0.708272110941547	1.60842617881386	0.107741871978959	0.731208875543532
AT1G01160	493.784825892354	-0.0367586718351866	0.116801524819226	-0.314710547589838	0.752981435090079	0.97061220451712
AT1G08765	15.1062427005011	-0.150599637673027	0.509900629031254	-0.295350954869672	0.767725795268494	0.9723993323038
AT1G01190	10.6108920794707	0.457997952231004	0.502702140935156	0.911072213416496	0.362257325952652	0.88935183981745
AT1G01200	20.1002679093916	-0.00414532278514296	0.39792437739434	-0.0104173632494874	0.99168829703225	0.999429141203002
AT1G01210	290.487898198151	0.177347171097445	0.161185872058044	1.10026498497077	0.27121668361358	0.851419826622856
AT1G04017	0	NA	NA	NA	NA	1
AT1G01240	489.260241027999	-0.35710286588996	0.19920478108304	-1.79264204377253	0.0730301791173456	0.675685563130027
AT1G01030	102.552164382498	-0.0465102540875571	0.231310311278406	-0.201072982136007	0.840641507667005	0.981982285502301
AT1G01070	53.2207769816776	-0.11816581268891	0.245478054684828	-0.481370169079366	0.630253434294967	0.948807646485024
AT1G01080	1904.17302502797	0.0109828963291008	0.138658295307328	0.0792083611352489	0.936866894265775	0.992030068222914
AT1G01090	4152.88354816963	0.150042714464716	0.0931983844826698	1.6099282760917	0.10741351521316	0.731208875543532
AT1G01120	1382.29692371958	0.16541235309264	0.122513483658583	1.3501563105789	0.176965848943323	0.803453686017366
AT1G01140	1270.93331549616	0.0446844024101747	0.104794685359577	0.426399509258044	0.66981675892981	0.955773847838249
AT1G04007	24.28869658821	-0.240318506742655	0.419543198344349	-0.57280992205577	0.566773400246679	0.935433275674716
AT1G01180	146.966631291539	0.238125347745529	0.183882161233055	1.29498884583875	0.195324077338142	0.808914355816312
AT1G01170	1775.19696925971	0.227511648622517	0.149350917574326	1.52333612888112	0.127674632647604	0.75215886881817
AT1G01220	744.2615320187	-0.148936359438693	0.135989294128219	-1.0952065042581	0.273426176811994	0.852945653588701
AT1G01225	59.2129523939293	0.127012463475734	0.239553065377204	0.530205961988997	0.595969137837718	0.942245896733132
AT1G01230	509.756425412191	0.0554382717359558	0.155792633786232	0.355846553130518	0.721955483583851	0.967235187358714
AT1G01260	189.625101088021	0.274292732864948	0.256876562432636	1.0677997644759	0.285610844346085	0.857426936460411
AT1G01290	316.207788558615	-0.0293603724738498	0.128143817755685	-0.229120475634863	0.818775279474015	0.979028934276997
AT1G01300	992.656435945934	0.223509232029506	0.125774528434847	1.77706277106247	0.0755579126169682	0.679799933247103
AT1G01250	272.316793380057	0.247698646526561	0.189605226024973	1.30639145196313	0.191419471267354	0.806182600096734
AT1G01610	1162.44909829255	0.207684213461534	0.112869507919728	1.84003826444638	0.0657626197740002	0.667053829537496
AT1G01320	13747.5809151878	-0.1886932400117	0.179926639758606	-1.04872319221243	0.2943055368837	0.861937733117113
AT1G01340	49.7402576321343	0.0490257793717039	0.24786440793583	0.197792735875157	0.843207229828227	0.982107275485978
AT1G01370	61.0153205356565	0.121538293269358	0.217077318687744	0.559884809726186	0.575558010547636	0.937994554684327
AT1G01380	12.1085744967088	0.0682635221618977	0.669369768128781	0.101981782584427	0.918771135076112	0.990089235048328
AT1G01448	276.326528134789	-0.281143105326805	0.151056867205362	-1.86117394414509	0.0627196166585889	0.663413727076183
AT1G01480	15.593383905229	0.263577334903424	0.670518700047083	0.393094681602341	0.694249552049997	0.96051337564611
AT1G01490	1057.77456571218	0.0672206238557579	0.131496293231094	0.511197861202239	0.60921251617995	0.945037065930178
AT1G01520	253.690433054063	0.322035893001766	0.281963984996208	1.14211711473044	0.25340534233196	0.8426590792827
AT1G01560	29.4862654832353	-0.00901453054869319	0.681901048954028	-0.0132197047687793	0.989452508881816	0.998945625491964
AT1G01570	58.4728021093813	-0.416275775527357	0.235629979632462	-1.76665030560487	0.077286810608069	0.684640701692627
AT1G01580	60.0900695668806	0.300456214849912	0.498703390064946	0.602474779268662	0.546858146404809	0.92876063747027
AT1G01590	11.4464190879419	0.0915404783743708	0.563417028318029	0.162473751721078	0.870932796719598	0.98286913038346
AT1G01310	23.1664003336508	0.550734818461054	0.610718251423983	0.901782151060546	0.367172603160882	0.889748137431117
AT1G01350	370.618201402888	0.0558900010686259	0.127296552775392	0.439053531694929	0.660622748351903	0.954559133034615
AT1G01360	166.753369056121	-0.137523843512257	0.177419541393026	-0.775133575661823	0.438260733448463	0.908598318789554
