	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010|ANAC001	184.438169839034	0.990222452575194	0.197620379212592	5.0107304546256	5.42238199222134e-07	7.66104112092202e-06
AT1G01020|ARV1	189.181690199294	-0.374629282673467	0.258023186296393	-1.45192100001094	0.146523572688493	0.320077612691772
AT1G01040|DCL1	1357.32570098925	0.171975927208326	0.10643556814998	1.615774972573	0.106142974529871	0.256883146613125
AT1G01046|MIR838A	7.04808421836556	-0.177837142326006	0.540863087723096	-0.328802512803485	0.742304963651685	0.862113198593739
AT1G01060|LHY	325.286210597197	-0.730207587371351	0.401275636050333	-1.81971573095895	0.0688023064424767	0.189733355718498
AT1G01100|AT1G01100	2496.95536258711	-0.161022762064174	0.136672757091316	-1.17816282843104	0.238731698428597	0.444744546535932
AT1G01110|IQD18	61.2354523659357	0.13265165840513	0.315487412713856	0.420465771562948	0.674145229056121	0.820037151146104
AT1G01130|AT1G01130	16.8737884959067	-0.158390684703378	0.536897049217698	-0.29501127811033	0.767985264247688	0.877198961476979
AT1G01150|AT1G01150	4.01732395841443	0.327334206824664	1.70242372824794	0.192275402059593	0.847526485211334	0.922293350485475
AT1G01190|CYP78A8	9.84171778006264	-0.527228776233206	0.443006921730234	-1.1901140825837	0.234001555957299	0.438434680916823
AT1G01030|NGA3	139.216374003021	-0.0473515577799227	0.258365710403977	-0.183273382934153	0.854583517998839	0.925678706879055
AT1G01050|AtPPa1	1918.092584801	-0.18936742957056	0.189147873654296	-1.00116076333306	0.316749092397911	0.531136962342614
AT1G01070|AT1G01070	93.2389942993752	0.55744600341257	0.286980107697907	1.94245520319956	0.0520820179882542	0.155336944691273
AT1G01080|AT1G01080	2656.12204038548	-0.303934743636879	0.0951732697037866	-3.19348851397912	0.00140564929429177	0.00851605421480759
AT1G01090|PDH-E1 ALPHA	5184.98359381702	-0.107650831965951	0.112857471097875	-0.953865357062556	0.340151801245926	0.555512725935262
AT1G01120|KCS1	1637.81595110499	-0.253484340655725	0.131810423005407	-1.9230978467107	0.0544677627308339	0.160807834595852
AT1G01140|CIPK9	1767.49860307828	0.0736453256081482	0.120714733300949	0.610077358366404	0.541810564321944	0.726958785383804
AT1G01160|GIF2	742.747649535542	0.443294839277695	0.274888486213149	1.61263516484268	0.10682379398222	0.25801691862895
AT1G01170|AT1G01170	2068.62160394105	-0.260281085922119	0.133866533485682	-1.94433275550501	0.0518553371071997	0.154872057609117
AT1G01180|AT1G01180	256.287845717581	0.822850510072854	0.157737276236735	5.21658880959694	1.82248214927482e-07	2.81891846441227e-06
AT1G01210|AT1G01210	272.821869218795	-0.181665577705432	0.143664517742583	-1.26451249452519	0.206046138974309	0.40398342496702
AT1G01220|FKGP	1019.24378551634	-0.0941209284404158	0.0785071876338312	-1.19888294660878	0.230573463633921	0.434485385894763
AT1G01225|AT1G01225	60.4023401221192	-0.71633989640764	0.286813504507934	-2.49758078036324	0.0125043971701441	0.0516299170300589
AT1G01230|AT1G01230	627.708580823971	-0.200795254361708	0.173286992198272	-1.15874395310619	0.246560569120541	0.454260484140792
AT1G01200|ATRABA3	18.2116169654066	-0.775608044121302	0.368903413175228	-2.10246914617971	0.0355121996409415	0.116567209717399
AT1G01240|AT1G01240	774.220383796774	0.149678901398635	0.239391719895771	0.62524677738981	0.531809105174328	0.719307170022742
AT1G01260|AT1G01260	331.569455234502	0.149686434694255	0.135111115958438	1.10787653282578	0.267915141705192	0.479506715567451
AT1G01290|CNX3	379.3129380447	-0.245010693932095	0.140576547337441	-1.74289878769016	0.0813512958558798	0.214030337022007
AT1G01300|AT1G01300	1362.17357184296	0.220059951245284	0.157491878373535	1.39727809153023	0.162329961364689	0.344023118702241
AT1G01250|AT1G01250	219.336379444683	-1.8114631782249	0.263274237536927	-6.88051818199956	5.96352334537571e-12	1.61621089326781e-10
AT1G01610|ATGPAT4	1638.13089772272	0.296019118812526	0.175221811176328	1.68939652446942	0.0911434666015158	0.231172301755973
AT1G01370|HTR12	77.6505829008442	0.0617090287834561	0.258238024912166	0.238961821383373	0.811135187297623	0.901669005407182
AT1G01480|ACS2	72.6515936499061	3.13428209300988	0.441267440282257	7.10290813889425	1.22158607259823e-12	3.55283364279201e-11
AT1G01560|MPK11	121.564851911532	2.3978851026564	0.348435102161911	6.88187007502519	5.90718796141707e-12	1.60292937846343e-10
AT1G01320|AT1G01320	19865.1900102843	0.117430748674089	0.128334770066886	0.915034550752586	0.360173492118108	0.574624278665059
AT1G01310|AT1G01310	22.702600249737	-0.371865547698498	0.688633176822721	-0.540005274526919	0.589193394932915	0.761418620927545
AT1G01350|AT1G01350	518.460692250672	0.135708418742288	0.124714258894456	1.08815479436987	0.276526777457667	0.488444286042371
AT1G01360|RCAR1	216.187454339922	-0.235865429272763	0.152231569375298	-1.54938578273	0.121289009394839	0.2812161480414
AT1G01340|CNGC10	197.307519595375	2.23983276565935	0.199480628592833	11.2283221757395	2.96046760936298e-29	2.81514726453816e-27
AT1G01390|AT1G01390	131.702105343388	0.131019476858185	0.259715749434838	0.504472590296482	0.613929318750864	0.779747278188162
AT1G01420|UGT72B3	372.260003232389	0.123339440212399	0.162149396530862	0.760653094314318	0.446864298032887	0.652123110847886
AT1G01430|TBL25	1985.03667110786	-0.249489388594854	0.104605469145093	-2.38505109373201	0.0170767494397848	0.0657631619811359
AT1G01380|ETC1	11.3670815999996	-0.584763388666925	0.677906542987497	-0.862601777067832	0.388356452978418	0.599649127220223
AT1G01440|AT1G01440	639.131295620494	0.318735899120936	0.113874434516937	2.79901191582672	0.00512592458136524	0.0251253017747735
AT1G01450|AT1G01450	26.955097968871	0.472978908205016	0.698786791189322	0.676857253412038	0.498496528023597	0.693565342784912
AT1G01448|AT1G01448	390.228525552214	-0.188020296573278	0.123993824376696	-1.5163682346152	0.129426266592928	0.293684874314175
AT1G01470|LEA14	2036.72035413203	-0.301738751783573	0.231013990150819	-1.30614925782885	0.191501804690712	0.384807454090835
AT1G01500|AT1G01500	774.470414486806	0.0439691843795849	0.177413334801187	0.247834721267472	0.804262289123469	0.897587412635576
AT1G01510|AN	823.23038663552	0.0238068673102744	0.066544075137301	0.357760886467406	0.720522263812017	0.84833115743064
AT1G01520|AT1G01520	183.34891874707	-1.29794852908184	0.375845465659964	-3.45341010514179	0.000553546762831921	0.00382274115879284
AT1G01540|AT1G01540	1763.37552838833	-0.368234950631113	0.169202074471079	-2.17630281296612	0.0295326253511047	0.101525942950961
