	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010	168.465953801195	0.754267407260294	0.19281662712251	3.91183799092728	9.15963518814116e-05	0.00086752755143776
AT1G03987	5.09104732892431	-0.461739755301946	0.66147880752146	-0.69804164555486	0.485151150082567	0.736867348157667
AT1G01020	238.938353359624	-0.173139972275952	0.247092781536895	-0.700708337973437	0.483485051498071	0.735468982011378
AT1G01040	1299.20460420675	0.0459062768036907	0.0801867868731926	0.572491785663976	0.566988849272004	0.793651490040068
AT1G01046	7.28483598809006	0.230991154046445	0.596275228903944	0.38739015617175	0.698467390242903	0.867724081509973
AT1G01050	2013.62769130607	-0.0635158765048146	0.103056903544372	-0.616318502888719	0.537684329333307	0.773402797650813
AT1G01060	333.626241319617	-0.578144957848789	0.304783628159011	-1.8969029318962	0.0578407504365047	0.192856325250603
AT1G01100	2542.57648151571	-0.0488110372616225	0.143251466100193	-0.34073673792269	0.733301779047955	0.8856273522183
AT1G01110	61.8335423621311	0.131223689004767	0.228195925753156	0.575048343092306	0.565258602536137	0.792402611029933
AT1G01130	36.3655854306386	-0.212081084912606	0.325046074828235	-0.652464685274776	0.514101447371414	0.757860474548492
AT1G01150	6.99450880238861	0.667244170517922	0.77356661086352	0.862555546151466	0.388381880609822	0.655965318299992
AT1G01160	670.063858790875	-0.029378086198456	0.11041639166744	-0.266066348979589	0.790188110775	0.914937967931408
AT1G08765	16.1464701419774	-0.941219682807038	0.442879938141777	-2.12522537542834	0.0335678116297479	0.128284666438846
AT1G01190	13.1023186339848	0.185245967248621	0.395642283111792	0.468215797845544	0.639630275903594	0.837824832235685
AT1G01200	22.4090683682621	-0.718155568600857	0.337472811755157	-2.12803978153326	0.0333337853791391	0.127626723740308
AT1G01210	354.278536965259	-0.151426516999202	0.129317755709661	-1.17096462251618	0.241612997649401	0.504868098246913
AT1G04017	0	NA	NA	NA	NA	1
AT1G01240	665.161970938034	-0.306823646546397	0.202643745120819	-1.514103711237	0.129999537552717	0.339140227228577
AT1G01030	138.217845190327	-0.0740717791576603	0.229815615305824	-0.322309600499036	0.74721816075547	0.892610150144198
AT1G01070	82.0675342143573	0.224195453800457	0.193122419367013	1.1608981211777	0.245683333013584	0.509376691267698
AT1G01080	2505.65465062574	-0.0826703045887849	0.139567107646845	-0.592333723773732	0.553627137545312	0.784970986086583
AT1G01090	5234.51655348345	-0.0818050042986176	0.0916722959094465	-0.892363428744319	0.372198166598643	0.64167143257055
AT1G01120	1766.1686223898	-0.0270153076991296	0.102438359990928	-0.263722571325061	0.791993701675576	0.915900375687909
AT1G01140	1633.99243858504	-0.120161768881564	0.122028523198493	-0.984702311656325	0.324770316923584	0.59603823711661
AT1G04007	35.7154610174488	0.0239420631307211	0.386463013437798	0.0619517581197318	0.950601249602346	0.981510265165509
AT1G01180	224.846094288501	0.516259862279428	0.157008609060871	3.28809907537795	0.0010086633620872	0.00721386627035765
AT1G01170	2227.91559085804	-0.0110980117050541	0.13173072702311	-0.0842477070904432	0.932859488208954	0.97530291514917
