	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010|ANAC001	89.5755632722259	-0.00468199096228128	0.266229604253032	-0.017586289756985	0.985968894175917	1
AT1G01020|ARV1	148.237673103098	-0.232045276737709	0.244072303761926	-0.950723507588356	0.341744751650633	1
AT1G01040|DCL1	901.372595082232	-0.119626171278792	0.144450249780801	-0.828147901857707	0.407586744185151	1
AT1G01046|MIR838A	4.34569646709486	-0.659967085825194	0.820975313030389	-0.803881767636982	0.421465260686994	1
AT1G01060|LHY	336.615635121269	0.357906957193448	0.193599714850545	1.84869568361578	0.0645017673225252	1
AT1G01100|AT1G01100	2208.52831798722	0.383347487853197	0.170868671483727	2.24352120563954	0.0248632239705572	0.217486084407682
AT1G01110|IQD18	43.4184985748162	0.064191028284774	0.260749952369577	0.246178485178751	0.805544069486931	1
AT1G01130|AT1G01130	12.6964285684057	0.0426447336869628	0.59924304826652	0.0711643360908812	0.943266965101079	1
AT1G01150|AT1G01150	2.89241975005265	0.380351430274759	1.81744074859568	0.209278586148491	0.834230767430564	1
AT1G01190|CYP78A8	8.84383708047761	0.207757334660364	0.638100932092481	0.325586947474092	0.744736888956974	1
AT1G01030|NGA3	101.481317412737	-0.0571759251511091	0.231605740942971	-0.246867477974942	0.805010786266178	1
AT1G01050|AtPPa1	1562.96635267872	0.118289641997263	0.127688650775348	0.92639119670376	0.354242717390381	0.661105314298432
AT1G01070|AT1G01070	53.6472886122919	-0.0330088092716059	0.250515751885399	-0.131763408181639	0.895171430181363	1
AT1G01080|AT1G01080	2133.829858826	-0.0446077871523147	0.0946675481143391	-0.471204631796713	0.637494611396572	0.844294694622667
AT1G01090|PDH-E1 ALPHA	4163.67185709931	0.159045327135251	0.0845215962280871	1.88171229878405	0.0598750889567123	0.306566511093154
AT1G01120|KCS1	1386.85970178962	0.173972710934091	0.114364326563188	1.52121484174498	0.12820593214681	0.421263595236682
AT1G01140|CIPK9	1282.98800425904	0.031792535111169	0.0957475203689416	0.332045519180691	0.739854887673473	0.890603173975946
AT1G01160|GIF2	464.867258529331	0.0079431590178632	0.109922021543283	0.0722617625325923	0.942393594189299	1
AT1G01170|AT1G01170	1796.24166639477	0.234287369602962	0.146502113093664	1.59920812509492	0.109774365566092	0.401251065471725
AT1G01180|AT1G01180	146.497393829453	0.233927909678938	0.183504075458485	1.27478318448497	0.202385994125384	1
AT1G01210|AT1G01210	228.252440043585	0.194351848695873	0.16408481806863	1.18445966533347	0.236231153703757	1
AT1G01220|FKGP	740.460906971781	-0.133115990108083	0.125943895063565	-1.05694674633414	0.290535892356173	1
AT1G01225|AT1G01225	58.0885519975142	0.102630475652655	0.23845828309175	0.430391741154851	0.666910702026002	1
