	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010|ANAC001	196.445607739158	0.810032821241734	0.179098271454133	4.52283997307693	6.10153713435803e-06	6.7530467393469e-05
AT1G01020|ARV1	227.794784298038	-0.248822488795821	0.27378796915163	-0.908814545675007	0.363448027229086	0.588650457225023
AT1G01040|DCL1	1473.477687654	-0.00440196532200319	0.0850096881021357	-0.0517819253343737	0.958702457721205	0.981610500479279
AT1G01046|MIR838A	8.14588303930539	-0.152903662759039	0.585674130915644	-0.261072932348897	0.794036264856067	0.900304485017613
AT1G01060|LHY	469.463203007253	0.00360792929099436	0.264611053904158	0.0136348396552668	0.989121309025244	0.995078775300292
AT1G01100|AT1G01100	2938.82639286301	-0.110217295854456	0.130393939091217	-0.845263948789467	0.397963484767817	0.621868939539
AT1G01110|IQD18	59.914508341688	-0.339422465662274	0.195974545798534	-1.73197220220225	0.0832785118954932	0.219798163042475
AT1G01130|AT1G01130	19.4854241351507	-0.13280310842548	0.409122771578683	-0.324604538420172	0.745480391929437	0.873506289804434
AT1G01150|AT1G01150	5.6790308454878	0.799761951689043	1.10685165501292	0.722555681302847	0.469952904688113	0.683258242515864
AT1G01190|CYP78A8	13.3506443767524	-0.0698980198971409	0.572215581172975	-0.12215329710851	0.902777612888251	0.956737879819778
AT1G01030|NGA3	146.419325343341	-0.332502727766706	0.21411298154837	-1.55293119250498	0.120439573835049	0.286990484622017
AT1G01050|AtPPa1	2381.76164125104	0.0190752684952083	0.0972212008910391	0.196204822820353	0.844449853360976	0.927725522936372
AT1G01070|AT1G01070	106.598759971946	0.535381217320675	0.164237918580563	3.25979056449171	0.00111494510922277	0.00679936285811134
AT1G01080|AT1G01080	3142.86132448801	-0.233486195965266	0.0883092431022897	-2.64396101430533	0.00819420934797752	0.0365465745501623
AT1G01090|PDH-E1 ALPHA	5819.19338419914	-0.20079224910989	0.0738887506974449	-2.71749416811879	0.00657783146064521	0.0303392770215805
