	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010	173.371439244795	0.845510292276905	0.252673009911134	3.34626279464623	0.000819087268741957	0.00337048692432915
AT1G03987	3.2089037979369	-3.12546495666531	1.07760407826236	-2.90038337800756	0.00372706499709858	0.0127466621073215
AT1G01020	230.771433661309	-0.23950241294781	0.278151294700539	-0.861050865161931	0.389210029061741	0.544084517911158
AT1G01040	1139.93335972291	-0.312044492879393	0.217561789353888	-1.43427986047595	0.151492415143061	0.272153548611051
AT1G01046	6.21902436398377	-0.140217411105785	0.790847987879962	-0.177300079477559	0.859272688368987	0.915808504421085
AT1G01050	1952.25810297668	-0.118111214341935	0.224938224994671	-0.525082894846945	0.599525566468381	0.727827964024623
AT1G01060	460.250112735869	0.414208187589982	0.445439775399151	0.929885947474755	0.352430139582468	0.507007084018188
AT1G01100	2318.58454836837	-0.295892877673339	0.209628322626361	-1.41151192723483	0.158093721249683	0.28098216010556
AT1G01110	51.274270234238	-0.390629961575518	0.271656404629358	-1.43795601693428	0.150446534088755	0.270858760248305
AT1G01130	39.1759704488894	0.010952533052745	0.337740569087467	0.0324288346002892	0.974130067890208	0.985534935762514
AT1G01150	3.06898601594063	-2.72711355859522	1.17739794477641	-2.31622075670695	0.0205462184312306	0.054434690740003
AT1G01160	924.23769732952	0.817187463452063	0.340528148970639	2.3997647945472	0.0164056094542946	0.0451940722574803
AT1G08765	20.4649924028839	-0.0350072943888412	0.390253131427641	-0.0897040704344279	0.928522381246777	0.957859054633265
AT1G01190	10.3029316427998	-0.458504706972514	0.530461650948734	-0.864350337394749	0.387395465650778	0.542372528532634
AT1G01200	24.6505340673378	-0.323186301026762	0.583912090241875	-0.553484516638263	0.579931679992508	0.712089187836955
AT1G01210	404.216584228245	0.250317615791504	0.221581578176232	1.12968604092357	0.258608541230209	0.405178646903251
AT1G04017	2.44291738255671	4.586332203828	3.03981609522757	1.50875318116396	0.131361869421028	0.243821376817809
AT1G01240	768.19719578196	0.154920580454743	0.192206848170931	0.806009681387476	0.420237266849848	0.573574836162377
AT1G01030	88.0318025348075	-1.94161334301065	0.29071108039907	-6.67884189465817	2.40837811608705e-11	3.44272259803338e-10
AT1G01070	120.217533152061	1.1392663374116	0.207359747824381	5.49415375628481	3.92588343910009e-08	3.68027555999815e-07
AT1G01080	1878.10966932161	-1.07428447426958	0.167181818513496	-6.42584512970142	1.31138864547961e-10	1.72544816285028e-09
AT1G01090	4467.09671171157	-0.557973277178105	0.1428239725051	-3.90672005120274	9.35574414913671e-05	0.000484240340040659
AT1G01120	1435.59218631122	-0.665441300606683	0.199345271885731	-3.33813435509084	0.000843429560430172	0.00345642215654269
AT1G01140	1646.85877750722	-0.0590588551232427	0.120822880046073	-0.488805225473205	0.624979598177432	0.747971736537506
AT1G04007	29.3151952717661	-0.535916605037199	0.609506530056404	-0.879263106479934	0.379258634789051	0.534246252810573
AT1G01180	174.052705414266	-0.138640953784385	0.232368048609284	-0.596643792527189	0.550745226702675	0.688873580072247
AT1G01170	2019.84158953252	-0.272497244468234	0.201582069308262	-1.35179307069979	0.176441521457044	0.3056280943641
AT1G01220	913.795284840035	-0.431448543653588	0.129366020622929	-3.33509944555811	0.000852688997557897	0.00348876989994052
AT1G01225	58.4393129094602	-0.873203914139826	0.635117865018659	-1.37486907900815	0.169172037075177	0.296047845010279
AT1G01230	705.213338919494	0.15746843666368	0.153945565401224	1.02288387621478	0.306362753882338	0.458815766957479
AT1G01260	237.552359492488	0.0665351352262091	0.303181556154908	0.219456407804087	0.826294533686945	0.894092461108512
AT1G01290	524.610641726977	0.538531377704452	0.252688773818324	2.13120420652973	0.0330723226238797	0.0804357584284569
AT1G01300	1427.75036879576	0.374109206970953	0.304037574854673	1.23047030338199	0.218521040886137	0.359885695049706
AT1G01250	419.072387410812	0.565870710261157	0.395188005224105	1.43190254456296	0.152171713923403	0.272840796898856
AT1G01610	1712.24562956892	0.42504970750602	0.2877773686432	1.47700880548747	0.139673276920418	0.256104813600249
AT1G01320	13955.7097319475	-1.21929064917978	0.162924434950758	-7.48378013125097	7.22147332902464e-14	1.44593019112335e-12
AT1G01340	91.9914642025754	0.861163737851305	0.465118242735099	1.85149421959303	0.0640984855652704	0.138826702082663
AT1G01370	60.5300323844829	-0.836744125142388	0.597264551551114	-1.40096063456192	0.161225845108176	0.28537942982108
AT1G01380	21.2441254184446	0.896745101864285	0.449715264628447	1.99402860520017	0.0461489285289684	0.106290508132953
AT1G01448	351.820108385568	-0.448166800761445	0.36827073178122	-1.21694927694577	0.223623515288427	0.365747126968819
AT1G01480	49.6171117919937	2.12580707217754	0.508514620099255	4.1804246882078	2.90965167867342e-05	0.000167832505611009
AT1G01490	1699.75713883926	0.534172760545418	0.22767476252376	2.34620980658614	0.0189654283481555	0.0509700187841409
AT1G01520	440.119430424502	0.911605648506596	0.304233258766897	2.99640365488464	0.00273184548743464	0.00974006520461805
AT1G01560	67.0425869549483	1.20520202822232	0.491303775294519	2.45306893377695	0.0141643192079548	0.0398554549833308
AT1G01570	104.714639044664	0.444759322866492	0.333124172189508	1.33511573160016	0.181838471399382	0.312854723322321
AT1G01580	137.645398956047	1.45330371839426	0.529345374795784	2.74547353692271	0.00604236403995974	0.0192688373782623
AT1G01590	15.1501865051449	-0.0170233308132127	0.788160320030333	-0.0215988173732947	0.982767976912054	0.990394349480489
AT1G01310	13.0136797702456	-5.26541768310345	1.05880473337538	-4.97298275794228	6.59305270201063e-07	5.12505611797147e-06
AT1G01350	504.503891750223	0.0782540736183272	0.127000255798831	0.616172566945709	0.537780632109414	0.67819309868146
AT1G01360	294.831235254567	0.607057047401122	0.15418726404472	3.93714131424664	8.24580524605942e-05	0.00043293302737762
AT1G01390	80.2649632876083	-1.80254484831947	0.2965247156971	-6.07890254302029	1.21007873465125e-09	1.40971345434352e-08
AT1G01420	557.405346563454	1.1072641626635	0.548192357894254	2.01984603892835	0.0433993599625163	0.101102431144056
AT1G01430	1913.51541330435	-0.342427061336296	0.201294080090779	-1.70112832519401	0.0889188930954488	0.179967392506118
AT1G01440	524.09973550358	-0.312771656959017	0.210876574934567	-1.48319772860531	0.138021884526113	0.253623074403808
AT1G01470	3851.42719483208	1.29628508783509	0.137062969576314	9.45758793817281	3.15128397663784e-21	1.23189478719383e-19
AT1G01500	653.7248406529	-0.464141774860947	0.195821329781028	-2.37023094154228	0.0177769774380608	0.0483804882064015
AT1G01510	719.378916589934	-0.408351218074832	0.196176348563212	-2.08155173172292	0.0373834341954937	0.0891848073085228
AT1G01540	1682.32117424517	-0.398644462450424	0.127480429830469	-3.12710321874945	0.00176537935490297	0.00663706409090608
AT1G01550	4354.43109124668	-0.114309071196268	0.280996338579281	-0.406799148253018	0.684155512371415	0.793061879453893
AT1G01600	235.941885795048	0.61029316747413	0.191300016044974	3.19024106788706	0.00142154162124921	0.00548984470867513
AT1G02290	274.47639771436	0.166886366991102	0.180727785615826	0.923412890953321	0.355792076390838	0.510629162582406
AT1G02280	1944.26604962307	-1.07358904295224	0.100008589901357	-10.7349683063342	6.97428971205318e-27	4.40414899234216e-25
AT1G02300	816.083682239291	0.439517044832539	0.212300779990765	2.07025638272105	0.0384283417958351	0.0911760801526698
AT1G02335	209.415458027398	0.369445922210447	0.305361205949363	1.20986528417009	0.226330590301121	0.368705524355887
AT1G02340	165.672447223827	0.217962465835552	0.247450075862986	0.880834103911281	0.378407618002868	0.53362438695791
AT1G02350	29.6825070015339	-1.05901142839065	0.523992264322424	-2.02104401247233	0.0432752092221189	0.100874552193452
AT1G04107	260.337652682702	0.411834049003175	0.590049638773441	0.697965089613935	0.485199026642201	0.633897057314859
AT1G02360	81.3834076372254	2.26375174570249	0.410613045301112	5.51310235173467	3.52563059204062e-08	3.33224279558576e-07
AT1G02370	243.195504255996	0.457513841560564	0.16847156676244	2.7156739285609	0.00661410245901216	0.020829121677333
AT1G02310	79.4347879583087	2.11666722180787	0.524481673829538	4.03573151822995	5.44324335971149e-05	0.000298342659626846
AT1G02305	3146.45490066376	1.27969247252105	0.203648119937895	6.28384132842137	3.30307838900213e-10	4.13532461054482e-09
AT1G02330	732.77546350299	0.283736054621775	0.270287661513154	1.04975585283225	0.293830377286952	0.445515953742545
AT1G02380	92.1071177007813	-0.239634660972677	0.362353468355929	-0.66132845936303	0.508401694168099	0.653732453689187
AT1G02390	336.084610076137	1.5076631369368	0.199214569445262	7.56803652029605	3.78907480178227e-14	7.80427180947736e-13
AT1G02400	56.1878752680408	1.59612714317222	0.461119237289581	3.46141955073079	0.000537334691598793	0.00231685897975799
AT1G02405	4.86719957580186	0.406527076575425	0.960291224631169	0.423337281595554	0.672049197228972	0.783581751429526
AT1G02450	35.9546531077114	2.62169524414583	0.537754112134092	4.87526768273619	1.08661007692615e-06	8.14107536773941e-06
AT1G02410	614.809449585784	0.0685182936973814	0.115052725219204	0.595538207085811	0.551483767732939	0.689534697841022
AT1G02460	48.7164809237442	0.801597374720477	0.338211385589113	2.37010759801659	0.017782909256524	0.048390902352369
AT1G02430	35.6528573612656	0.0332401972395152	0.765041316867476	0.0434488915913979	0.965343704619571	0.980577023831753
AT1G02440	6.02230394091567	0.401324603329669	0.800221503153818	0.501516894694751	0.616007390752009	0.741065886001239
AT1G02420	43.53985526072	1.54427333850368	1.24457958926942	1.24079918377111	0.2146799428519	0.355239591562434
AT1G04117	84.7062934991768	1.73829998839299	1.76189250412526	0.986609560074164	0.323834081753973	0.477279443652014
AT1G01640	69.5216146281448	1.41670228858023	0.466060153597906	3.03974128155674	0.00236781454670789	0.00857632420659961
AT1G01650	1134.01068430064	0.650900896734191	0.106103180499362	6.13460306911443	8.53720801808225e-10	1.01361706355185e-08
AT1G01660	24.2606307679401	1.60877318715259	0.336339750941121	4.78317886200201	1.72544460417513e-06	1.25074328828665e-05
AT1G01670	55.9163226172806	1.46201785435249	0.324033616364301	4.51193265302692	6.42395872632356e-06	4.21407292475095e-05
AT1G01680	11.8750749317229	1.03936507535113	1.10020896662772	0.944697877292276	0.344813141062389	0.499016234997171
AT1G01690	114.31927726275	-0.214818821402981	0.207229016668591	-1.03662520266903	0.299910563040916	0.452004398841688
AT1G01695	7.8534995897835	-0.232328216174572	0.757353584602441	-0.306763209282925	0.759023613642645	0.846781850099567
AT1G01700	51.1615623526618	0.644203007024342	0.360871673116674	1.7851304355941	0.0742401622404735	0.156185646097339
AT1G01715	85.833203429968	0.0717959166975681	0.269532762400107	0.266371761481785	0.789952910901043	0.868339993781807
AT1G01740	258.146701908533	0.231123427238106	0.133075292835593	1.73678691448491	0.0824247896266206	0.1696316782485
AT1G01750	17.3997461533219	2.28681593629507	0.967806860637512	2.36288460983703	0.018133314654496	0.0491930096362851
AT1G01760	93.8903208768285	-0.46193374754035	0.230418941972077	-2.00475596141019	0.0449891426479611	0.104182997471895
AT1G01800	2033.22140035275	0.263332092621631	0.181305551726608	1.45242156190954	0.146384424536257	0.265383104534301
AT1G01880	47.2161068079235	-0.126011346645386	0.274344104739855	-0.459318587380895	0.646005401872109	0.763652654011637
AT1G04077	26.1741148131076	20.8388395165587	3.02744733577145	6.88330372268842	NA	1
AT1G01910	1090.26962842145	-0.423367212532476	0.236191738719812	-1.79247256837677	0.0730572994996775	0.154219403645843
AT1G01920	454.918900389044	0.261052709200126	0.136765876739768	1.90875615630971	0.0562935551713452	0.124928589986838
AT1G01950	546.97439677769	-0.317198361101587	0.128465217981503	-2.4691380755471	0.0135438947359076	0.0383777076429453
AT1G02010	384.621504972868	-0.519591379014684	0.389213677980394	-1.33497718197061	0.181883814712928	0.312909315544598
AT1G02020	474.657666562796	-0.327905887744142	0.24589393287059	-1.33352573573547	0.182359335681997	0.313610032170162
AT1G02067	6.97976395016202	6.11583036618985	3.03092524257236	2.01780970387753	NA	1
AT1G02080	3476.91237707498	0.0488168994942357	0.123631984613022	0.394856554693645	0.692948754412268	0.800086400890115
AT1G02120	2113.57059044283	0.462954954586278	0.10194500123841	4.54122270795414	5.592891197349e-06	3.70205866594214e-05
AT1G02145	561.861367225286	0.0351081476706077	0.0907960819957665	0.386670293463155	0.699000311108241	0.804688794066912
AT1G02190	26.2098327624468	1.39489613924942	0.656304978930199	2.12537796303656	0.0335550875789092	0.0813776369580932
AT1G02230	30.9651999283269	0.742489021700413	0.823899960329165	0.901188320732257	0.367488199650264	0.522960873470418
AT1G02270	1366.90582280212	0.633808439808246	0.263228458267529	2.40782643328056	0.0160478084273514	0.044362588636332
AT1G01620	3539.85272445218	-0.938786945209818	0.157831079941681	-5.94804867049443	2.71357916947133e-09	2.99301011465777e-08
AT1G01630	2275.19878855348	0.771921479088501	0.333760482994324	2.31280070115919	0.0207335992266697	0.0548678922201507
AT1G04037	3.60788235103273	0.76474091774894	0.949268461468992	0.805610792720854	0.420467300573532	0.57363444162909
AT1G01710	1177.70466039602	0.575212761989554	0.121530218197091	4.73308425281277	2.21133643108947e-06	1.57653203906606e-05
AT1G01720	2237.98368934643	0.721197113226133	0.178655761590034	4.03679739633072	5.41858247388112e-05	0.000297117215516774
AT1G04047	2.36162396134568	-0.311713298968159	1.49411196490553	-0.208627804535296	0.834738803289672	0.899304522314003
AT1G01725	181.832540575062	0.116011552775735	0.267458169152169	0.433755877203105	0.664465725409103	0.777826907937138
AT1G01730	501.496209886719	0.398661507732379	0.333936476942842	1.19382438055911	0.23254667256534	0.375742852213334
AT1G01770	748.051821915664	-0.7255780155826	0.142019291729301	-5.10901023901459	3.23850805293444e-07	2.6604841352663e-06
AT1G01780	290.845089126457	-0.367624869582938	0.198082273012586	-1.85592008811197	0.0634649492371096	0.137662104667755
AT1G04053	14.8769265444788	-0.834512585521687	0.91391545412934	-0.913117927649776	0.361180522489509	0.516460061582821
AT1G01790	5304.37795568603	-0.900294406364575	0.18117814782858	-4.96911143620023	6.72604091080471e-07	5.22313433701882e-06
AT1G01820	1516.66623967804	0.209404056758029	0.106134859855101	1.97299979520314	0.0484955856708672	0.110510511770651
AT1G01830	678.296894677101	0.188349440757953	0.557294449887328	0.337971140383747	0.735384936059626	0.829987642395397
AT1G01810	15.1403360318995	1.00125325000889	0.579711238361614	1.72715859854407	0.0841391840136366	0.172255499973106
AT1G04067	39.0348091395613	0.0516076677210437	0.43905033000895	0.117543853616946	0.90642909471935	0.944854031750803
AT1G01840	26.8722152305985	1.17953207306076	2.06604091927294	0.570914187641476	0.568057813187888	0.702689532554988
AT1G01860	436.185955926591	-0.895979090271268	0.283101614442491	-3.16486747006269	0.00155153604406193	0.00593305731306063
AT1G01900	230.162408832889	-0.0431326020306104	0.250776627861536	-0.171996100268266	0.863440594848013	0.918423631098817
AT1G01940	285.562299318084	0.211577998511523	0.122411376572592	1.72841776994521	0.0839133518828413	0.171956165318623
AT1G01930	445.65642941642	-0.51753543839399	0.0949774223719154	-5.44903647066151	5.06434287461632e-08	4.67693793957135e-07
AT1G01960	2402.59675593439	-0.333179369887861	0.174168458729471	-1.91297191419358	0.0557516480679377	0.123972853099508
AT1G01970	988.964570546714	-1.12377635599912	0.223831239992794	-5.0206412475546	5.14992650737384e-07	4.05954083328172e-06
AT1G02000	299.025497144558	-0.252068393870362	0.189321269698016	-1.33143198475497	0.183046910944566	0.314463101268446
