	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G01010|ANAC001	167.286122693929	0.768854312754639	0.18861470108845	4.07632230318085	4.57535901763794e-05	0.000412424069865466
AT1G01020|ARV1	207.337170134776	-0.102126560048842	0.223459278531423	-0.457025372676485	0.647652808526431	0.823034814548453
AT1G01040|DCL1	1300.80636034287	0.0493294772391933	0.0761405763552564	0.64787370414734	0.517066639721768	0.739004845494547
AT1G01046|MIR838A	7.68682298449229	0.0820527272878101	0.555720968452857	0.147650947050364	0.882618245778146	0.94935555135633
AT1G01060|LHY	337.832265646296	-0.594691299518028	0.289794634578875	-2.05211287083429	0.0401586943821592	0.134645561273152
AT1G01100|AT1G01100	2584.60156221434	-0.0659204217867142	0.127208069640838	-0.518209434140736	0.604312153199758	0.79756503736997
AT1G01110|IQD18	61.3968981939943	0.160407412875544	0.218949246560009	0.732623726255116	0.463787956001173	0.697965895628187
AT1G01130|AT1G01130	16.743370233135	-0.151953868340955	0.415987288284134	-0.365284883987044	0.714898760806152	0.861811676603212
AT1G01150|AT1G01150	3.7529722837257	0.136967405926993	1.5885917796061	0.0862193847943459	0.931292021249908	0.970373422237029
AT1G01190|CYP78A8	12.1609071502519	0.10610794755709	0.427550210653651	0.248176576488804	0.803997788777359	0.909703142981398
AT1G01030|NGA3	137.386664993015	-0.081306068562436	0.228378856846309	-0.356013992210987	0.721830086540115	0.865356490228328
AT1G01050|AtPPa1	2007.21601710185	-0.0621244910656066	0.0973948925780965	-0.637861898310446	0.523563582161365	0.743962459789653
AT1G01070|AT1G01070	82.2369586953723	0.246550449658197	0.19823412999848	1.24373360762896	0.213597622644691	0.441276113723586
AT1G01080|AT1G01080	2808.20510478865	-0.138985126170008	0.0873994368017205	-1.59022908220012	0.111783177387196	0.284958643448001
AT1G01090|PDH-E1 ALPHA	5241.70449978817	-0.0827003872067131	0.0849575883628779	-0.973431435617927	0.330338921587881	0.576602127871481
AT1G01120|KCS1	1769.96395200977	-0.0277507411387529	0.0967268496764173	-0.286898014683494	0.774190410672832	0.894509040939209
AT1G01140|CIPK9	1652.72762220588	-0.13128737661284	0.108770641938572	-1.20701114080934	0.227427853519353	0.459269741164314
AT1G01160|GIF2	632.074424608782	0.00544612969786222	0.0980203679012539	0.055561204415685	0.955691371128955	0.980521356588322
AT1G01170|AT1G01170	2250.25975408334	-0.0146842750775143	0.124629499041785	-0.117823430170341	0.906207564264541	0.960310164371706
AT1G01180|AT1G01180	224.705654473228	0.511812868890203	0.155785091095904	3.28537772960008	0.00101845735096026	0.00645959161639525
AT1G01210|AT1G01210	272.949664289724	-0.19609426547544	0.134034924666391	-1.46300873420501	0.143464989017288	0.338887568651648
AT1G01220|FKGP	1051.01131733824	-0.0140757110778729	0.074224804685994	-0.189636215782848	0.849594206033079	0.933784376349234
AT1G01225|AT1G01225	66.8017282658547	-0.386307475663199	0.205668975235137	-1.87829727464505	0.0603405091878614	0.183243936866542
AT1G01230|AT1G01230	682.214097760366	0.0346514123823777	0.0841167094178592	0.411944459337359	0.680380132812176	0.84379344500837
AT1G01200|ATRABA3	18.6447103439275	-0.709919611398881	0.396246612412622	-1.79161055050137	0.0731953719083415	0.211032306617736
AT1G01240|AT1G01240	690.588778047138	-0.188298177490174	0.177796426195839	-1.05906615514739	0.289569652296908	0.532636650587788
AT1G01260|AT1G01260	316.046924728348	0.00976676265004705	0.296292911575957	0.0329632004967599	0.973703933432714	0.988910985660723
AT1G01290|CNX3	384.577294134401	-0.203224080512522	0.105481424269148	-1.92663383074893	0.0540252794334365	0.168676791187694
AT1G01300|AT1G01300	1316.40341839776	0.121328414586053	0.113692735505366	1.06716065935741	0.285899294009506	0.528770913670874
AT1G01250|AT1G01250	224.855630606283	-1.68181614512625	0.179834262775712	-9.35203402937626	8.59781003120393e-21	3.81833636548386e-19
AT1G01610|ATGPAT4	1493.72711972092	0.0393849693459282	0.108805484677078	0.361975956109366	0.717369998073492	0.862870698696192
AT1G01370|HTR12	73.2101629651464	-0.0913597473027438	0.215987056276899	-0.422987140422058	0.67230464345983	0.838589962613304
AT1G01480|ACS2	48.8592215811565	2.472057195044	0.448719144450165	5.50914135404924	3.60588265661357e-08	5.43369214117287e-07
AT1G01560|MPK11	144.118343282741	2.68377613643924	0.302015698341262	8.88621403185047	6.32265026081316e-19	2.56307807418864e-17
AT1G01320|AT1G01320	18847.8498473296	-0.0398432511353574	0.0902180953028269	-0.441632590464465	0.658755096528134	0.829279187598071
AT1G01310|AT1G01310	24.7476666099144	-0.11980052486988	0.669867771120419	-0.178842049184576	0.858061727042171	0.937073875815821
AT1G01350|AT1G01350	516.545784185065	0.118580737466365	0.108778813001408	1.09010876469879	0.275665235887471	0.517642265739191
AT1G01360|RCAR1	216.542804550854	-0.236990418581531	0.147227192487427	-1.60969189575336	0.10746513507437	0.277158790232647
AT1G01340|CNGC10	183.131817134647	2.09985126351087	0.164001030113006	12.8038906954667	1.55938273596844e-37	1.46233960433092e-35
AT1G01390|AT1G01390	137.612069741783	0.257822677886741	0.191378659941841	1.34718613854383	0.177920291124911	0.391530162216725
AT1G01420|UGT72B3	347.381830565822	-0.0729600111903722	0.113797089284383	-0.641141277419167	0.521430898011945	0.741942245478055
AT1G01430|TBL25	2022.69127134203	-0.198897882919459	0.075679347212186	-2.62816594284038	0.00858466265550316	0.0391351719221248
AT1G01380|ETC1	12.3222279944401	-0.304021614207367	0.424857176159748	-0.715585451457819	0.474247359580402	0.705927161716179
AT1G01440|AT1G01440	634.21325687688	0.292222955835705	0.114972735622276	2.54167176464998	0.0110323724054468	0.0481056350147702
AT1G01450|AT1G01450	19.0840575841275	-0.569323273539295	0.799785487037965	-0.711844966889566	0.476560783927448	0.707635278886493
AT1G01448|AT1G01448	397.46206813455	-0.136383527236597	0.126656311634056	-1.07680008581527	0.281569586993707	0.524272697752845
AT1G01470|LEA14	1987.39985321876	-0.393074154370977	0.142393608210832	-2.7604761148336	0.00577171782881674	0.0281625802946953
AT1G01500|AT1G01500	754.862590052399	-0.0405470043905311	0.141890021300317	-0.285763607750198	0.775059183088737	0.894803212275019
AT1G01510|AN	820.556648013437	0.0024980065377016	0.113040787752768	0.0220982760945101	0.982369561618689	0.993141855428138
AT1G01520|AT1G01520	186.457749456614	-1.21927696696339	0.246286576347905	-4.95064321021311	7.39686026157174e-07	9.18303390428082e-06
AT1G01540|AT1G01540	1867.59710542659	-0.194432626152262	0.0684205888919971	-2.84172687345876	0.00448699137687922	0.0228081193711108
AT1G01550|BPS1	4848.23573525355	0.171438634955653	0.0723400507086173	2.36989929197314	0.0177929310177584	0.0710741394402233
AT1G01570|AT1G01570	69.8325591709037	-0.525584545074643	0.202316561624802	-2.59783252964404	0.00938142359025814	0.0421171369318143
